"app","cleaning_notes"
"aircon","Energy-use values (kWs) for years other than 2019."
"aircon","Input kWs calc'd as average of hot and cool inputs."
"aircon","Whole star ratings from pre-2019, calc'd as average of hot and cool star ratings, re-scaled and rounded to nearest whole number on 0-5 scale."
"aircon","Sold in Aus."
"aircon","Reverse cycle only (not heating/cooling only)."
"aircon","Removed 7-star ratings (i think this is an error, there are only 2)."
"aircon","Assume zero star is a valid rating."
"aircon","80 Rated.cooling.power.input.kW - This is the rated power input at 35 °C (T1) at full capacity operation in watts."
"aircon","97 Rated.heating.power.input.kW - This is the rated power input at 7 °C (H1) at full capacity operation in watts."
"aircon","44/45 Star2010_Cool/Heat - This is the value that determines the Energy Rating Label for cooling post 2010. Replaced for registrations under the 2019 Determination by the three 'c_star_***', below."
"aircon","Boxplot shows similar dist of energy use for heating and cooling - justify aggregation."
"clothes_dryer","sold in Aus."
"clothes_dryer","Energy use reported as energy (kWs) per use based on (var 12) New.CEC - This is the current Comparative Energy Consumption of the product which is its nominal energy consumption expressed as kilowatt hours per years. New.CEC = Kwh per 52 uses."
"clothes_dryer","14 New.Star - The current Star Rating for the appliance as found on the Energy Rating Label."
"clothes_dryer","Stars re-scaled and rounded to nearest whole number on 0-5 scale."
"clothes_dryer","Average duration 212.3 mins."
"clothes_dryer","Dryers only, not combination washer/dryer."
"clothes_dryer","Something weird happening with capacity? two trends."
"clothes_washer","7 CEC_ - This is the current Comparative Energy Consumption for the product on warm wash expressed as kilowatt hours per years. This is a comparative figure that indicates the amount of electricity used to operate the clothes washer 365 times (nominally 1 year's use) using a ‘normal’ or equivalent wash program and a minimum wash temperature of 35 degrees C at the start of the wash cycle."
"clothes_washer","Average duration 207.7 mins."
"clothes_washer","Star ratings as-is, already on 0-5 scale (actually 1-5, again, is zero rating valid?)."
"clothes_washer","39 New.Star - The current Star Rating for the appliance as found on the Energy Rating Label."
"clothes_washer","Only uses first drum, remove two drums? (haven't)."
"clothes_washer","Notes and attribute names do not match."
"clothes_washer","Only for warm wash."
"clothes_washer","One significant outlier (haven't removed)."
"clothes_washer","Sold in Aus."
"clothes_washer","CEC for warm wash."
"clothes_washer","Washing only, no combination washer/dryer."
"computer_monitor","Doesnt give very accurate usage measure."
"computer_monitor","Kws per day based on yearly use."
"computer_monitor","10 Comparative.Energy.Consumption - This is the current Comparative Energy Consumption of the product which is it's nominal energy consumption expressed as kilowatt hours per years.This is a comparative figure that indicates the amount of electricity used to operate the Computer Monitor over a typical year. It is based on testing conducted on the model to the relevant Australian Standard."
"computer_monitor","Stars re-scaled and rounded to nearest whole number on 0-5 scale."
"computer_monitor","13 Star.Rating - The current Star Rating for the appliance as found on the Energy Rating Label."
"computer_monitor","Sold in Aus."
"dishwasher","4 CEC_ - This is the Comparative Energy Consumption of the product which is it's nominal energy consumption expressed as kilowatt hours per years. This is a comparative figure that indicates the amount of electricity used to operate the dishwasher 365 times (nominally 1 year's use) using the nominated program. It is based on testing conducted on the model to the relevant Australian Standard and includes the electricity used by the washer during the cycle and energy used if any to heat water from the homes hot water service."
"dishwasher","Average duration - 159.9 mins"
"dishwasher","Stars re-scaled and rounded to nearest whole number on 0-5 scale."
"dishwasher","15 New.Star - The Star Rating for the appliance as found on the Energy Rating Label"
"dishwasher","Sold in Aus."
"dishwasher","Only where program time >0 mins."
"dishwasher","Remove 6 star ratings, 4 rows, all the same."
"hotwater_electric","No notes available for attributes."
"hotwater_electric","No star ratings."
"hotwater_electric","Energy use per day based on 6 Decl.Stand.Heat rated declared heat loss (kwH/24h). No real idea how long a days worth of hot water actually represents..."
"hotwater_electric","Sold in Aus."
"lights_incandescent","power use (kW per hour) (converted from Watts)."
"lights_incandescent","8 nom_lamp_power - This is the total electrical input power (watts) required to operate the lamp."
"lights_incandescent","sold in Aus."
"lights_flourescent_linear","no notes, no idea what a lot of the attributes mean *rolls eyes*."
"lights_flourescent_linear","Energy (kWs per hour), converted from Watts."
"lights_flourescent_linear","9 nom_watt - nominal lamp wattage."
"lights_flourescent_linear","Sold in Aus."
"lights_flourescent_compact","Sold in Aus."
"lights_flourescent_compact","Energy (kWs per hour) converted from Watts."
"lights_flourescent_compact","29 nom_lamp_power Watts."
"lights_flourescent_compact","Removed lamp power of over 100 watts, seem to be outliers?"
"fridge_freezer","Only has pre-2010 star values in dataset."
"fridge_freezer","Sold in Aus."
"fridge_freezer","Fridge/freezer type, not fridge only or freezer only."
"fridge_freezer","Has a star rating. I.e. removed those without star ratings."
"fridge_freezer","Energy (kWs per day), converted from yearly estimate."
"fridge_freezer","4 CEC_ - This is the Comparative Energy Consumption of the product which is it's nominal energy consumption expressed as kilowatt hours per years. This is a comparative figure that indicates the amount of electricity used to operate the refrigerator or freezer over a typical year. It is based on testing conducted on the model to the relevant Australian Standard."
"fridge_freezer","Stars re-scaled and rounded to nearest whole number on 0-5 scale."
"fridge_freezer","21 Star2009 - This is the value that determines the Energy Rating Label for the product prior to 2010."
"television","Energy (kwH per day), based on assumed 10 hours per day."
"television","16 CEC - This is the current Comparative Energy Consumption of the product which is it's nominal energy consumption expressed as kilowatt hours per years.This is a comparative figure that indicates the amount of electricity used to operate the Television over a typical year (assuming 10 hours viewing per day). It is based on testing conducted on the model to the relevant Australian Standard."
"television","Stars re-scaled and rounded to nearest whole number on 0-5 scale."
"television","22 Star2 - This is the actual star rating of the television."
