"app","powerkW"
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.045
"lights_flourescent_linear",0.045
"lights_flourescent_linear",0.045
"lights_flourescent_linear",0.045
"lights_flourescent_linear",0.045
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.037
"lights_flourescent_linear",0.037
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.023
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.08
"lights_flourescent_linear",0.08
"lights_flourescent_linear",0.08
"lights_flourescent_linear",0.08
"lights_flourescent_linear",0.08
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.049
"lights_flourescent_linear",0.039
"lights_flourescent_linear",0.039
"lights_flourescent_linear",0.039
"lights_flourescent_linear",0.039
"lights_flourescent_linear",0.039
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.04
"lights_flourescent_linear",0.02
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.037
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.024
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.035
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.054
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.028
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.021
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.03
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.018
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.036
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
"lights_flourescent_linear",0.058
